MS SubClass,Lot Frontage,Lot Area,Condition 1,Condition 2,House Style,Overall Qual,Roof Style,Mas Vnr Type,Mas Vnr Area,Exter Cond,Exter Cond,Bsmt Exposure,Bsmt Exposure,BsmtFin SF 2,Heating,Heating QC,Heating QC,Low Qual Fin SF,Full Bath,Full Bath,Bedroom AbvGr,Kitchen AbvGr,Functional,Garage Cars,Enclosed Porch,Screen Porch,Misc Val,Yr Sold,Sale Condition,SalePrice
60,,14311,Norm,Norm,2Story,8,Gable,BrkFace,402.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,4,1,Typ,3.0,218,0,0,2008,Normal,306000
60,60.0,10800,Norm,Norm,2Story,5,Gable,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,2,2,4,1,Typ,2.0,128,0,0,2009,Normal,149000
20,,9556,Norm,Norm,1Story,7,Gable,BrkFace,52.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,160000
60,106.0,8413,Norm,Norm,2Story,8,Gable,None,0.0,Gd,Gd,Mn,Mn,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,36,144,0,2007,Normal,312500
20,85.0,14601,Norm,Norm,1Story,9,Hip,BrkFace,584.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,3.0,0,0,0,2009,Normal,315000
80,57.0,8923,Norm,Norm,SLvl,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,2.0,0,0,0,2009,Normal,177500
50,51.0,6120,Artery,Norm,1.5Fin,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,2,2,Min1,2.0,205,0,0,2008,Abnorml,129900
60,100.0,9500,Artery,Norm,2Story,6,Gable,BrkCmn,272.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,4,1,Typ,2.0,0,0,0,2007,Normal,165000
70,79.0,9480,Artery,Norm,2Story,5,Gable,Stone,224.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,3,1,Typ,1.0,0,0,0,2007,Normal,146500
20,68.0,9724,Norm,Norm,1Story,5,Hip,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,1.0,0,0,0,2006,Normal,137000
50,60.0,8400,Norm,Norm,1.5Fin,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,1.0,108,0,0,2006,Normal,140000
20,70.0,13300,Norm,Norm,1Story,5,Hip,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,1,1,2,1,Min1,2.0,0,0,400,2006,Normal,159000
20,50.0,5500,Norm,Norm,1Story,7,Shed,None,0.0,TA,TA,Mn,Mn,373.0,GasA,Ex,Ex,0,2,2,2,1,Typ,1.0,0,0,0,2006,Normal,157000
160,21.0,1936,Norm,Norm,2Story,4,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,1,1,3,1,Typ,0.0,0,0,0,2006,Normal,90500
70,90.0,9900,Norm,Norm,2Story,6,Gable,None,0.0,TA,TA,Mn,Mn,0.0,GasW,TA,TA,0,2,2,5,1,Typ,1.0,0,0,0,2007,Normal,117500
60,107.0,10186,Norm,Norm,2Story,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2010,Normal,190000
20,64.0,7314,Norm,Norm,1Story,7,Gable,Stone,82.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2009,Normal,194500
120,34.0,5063,Norm,Norm,1Story,7,Gable,Stone,166.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2009,Normal,207500
160,30.0,3180,Norm,Norm,2Story,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2008,Abnorml,146000
30,60.0,7879,Norm,Norm,1Story,4,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,2,1,Typ,0.0,115,0,0,2009,Abnorml,34900
80,85.0,10200,Norm,Norm,SLvl,6,Gable,BrkFace,219.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2008,Abnorml,175000
20,,13500,Norm,Norm,1Story,6,Flat,None,0.0,TA,TA,Gd,Gd,1080.0,GasA,Gd,Gd,0,1,1,1,1,Typ,2.0,0,0,0,2008,Normal,235000
160,24.0,2522,Norm,Norm,2Story,7,Gable,Stone,50.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Maj1,2.0,0,0,0,2006,Normal,134000
120,35.0,4274,Norm,Norm,1Story,7,Gable,,,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,1,1,Typ,2.0,0,0,0,2007,Partial,199900
20,94.0,12883,Norm,Norm,1Story,8,Gable,Stone,256.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2010,Partial,290941
50,98.0,8820,Norm,Norm,1.5Fin,5,Hip,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,120,1,1,2,1,Typ,2.0,244,0,0,2009,Normal,124900
30,60.0,10800,Norm,Norm,1Story,4,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,2,2,4,1,Typ,1.0,0,0,0,2007,Normal,64500
20,,13284,PosN,Norm,1Story,5,Gable,None,0.0,TA,TA,Mn,Mn,0.0,GasA,TA,TA,0,1,1,3,1,Typ,1.0,0,0,0,2008,Normal,165000
60,96.0,10542,Norm,Norm,2Story,7,Hip,BrkFace,651.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,216,0,0,2008,Normal,341000
80,,19690,Norm,Norm,SLvl,6,Flat,None,0.0,Gd,Gd,Av,Av,0.0,GasA,TA,TA,0,2,2,4,1,Typ,2.0,0,0,0,2006,Alloca,274970
150,,1700,Norm,Norm,1.5Fin,7,Gable,None,0.0,TA,TA,Mn,Mn,0.0,GasA,TA,TA,140,2,2,2,1,Typ,1.0,0,200,0,2006,Normal,148400
50,56.0,9576,Norm,Norm,1.5Fin,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Typ,1.0,0,0,0,2006,Normal,120000
20,73.0,8760,Norm,Norm,1Story,8,Gable,BrkFace,132.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,212999
50,70.0,10512,Norm,Norm,1.5Fin,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,3,1,Typ,1.0,0,0,0,2007,Normal,154000
20,129.0,16737,Norm,Norm,1Story,9,Hip,BrkFace,66.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2006,Normal,315000
60,58.0,13204,RRAn,Norm,2Story,7,Gable,Stone,44.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2007,Partial,168165
60,100.0,12191,Norm,Norm,2Story,8,Hip,BrkFace,515.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,4,1,Typ,3.0,0,0,0,2007,Normal,384500
60,,29959,Norm,Norm,2Story,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2009,Normal,248000
20,65.0,7832,Norm,Norm,1Story,5,Hip,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,1.0,0,0,0,2010,Normal,137250
160,,2665,Norm,Norm,2Story,5,Gable,None,0.0,TA,TA,Mn,Mn,0.0,GasA,TA,TA,0,1,1,3,1,Typ,1.0,0,0,0,2008,Normal,115000
20,105.0,13693,PosA,PosA,1Story,10,Hip,Stone,472.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,3.0,0,0,0,2009,Normal,610000
20,113.0,13438,Norm,Norm,1Story,9,Gable,Stone,246.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2009,Normal,410000
60,73.0,9802,Norm,Norm,2Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,2.0,0,0,0,2010,Normal,174000
60,75.0,10125,Norm,Norm,2Story,8,Gable,None,0.0,TA,TA,No,No,250.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2009,Normal,251000
60,68.0,8998,Norm,Norm,2Story,7,Gable,BrkFace,120.0,TA,TA,Mn,Mn,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2008,Normal,207500
20,60.0,7436,Norm,Norm,1Story,4,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,1,1,2,1,Typ,2.0,0,0,0,2009,Normal,141500
60,122.0,11911,Norm,Norm,2Story,6,Gable,None,0.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2009,Normal,174000
20,,9000,Norm,Norm,1Story,2,Gable,None,0.0,TA,TA,,,0.0,GasA,Fa,Fa,0,1,1,2,1,Min2,0.0,100,0,0,2009,Normal,63900
20,49.0,20896,RRAn,Norm,1Story,8,Gable,None,0.0,TA,TA,Mn,Mn,0.0,GasA,Ex,Ex,0,1,1,1,1,Typ,3.0,0,0,0,2006,Partial,423000
30,,17529,Norm,Norm,1Story,5,Gable,Stone,65.0,TA,TA,No,No,0.0,GasA,Fa,Fa,0,1,1,2,1,Mod,1.0,116,0,0,2006,Normal,105000
20,80.0,9000,Norm,Norm,1Story,6,Flat,BrkFace,82.0,TA,TA,Gd,Gd,0.0,GasA,Fa,Fa,0,1,1,2,1,Typ,1.0,64,0,0,2009,Normal,113500
60,58.0,9487,Norm,Norm,2Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,187000
50,75.0,9000,Norm,Norm,1.5Fin,5,Gable,BrkFace,162.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,4,1,Typ,1.0,0,0,0,2008,Normal,165500
60,88.0,14200,Norm,Norm,2Story,7,Gable,BrkFace,309.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,4,1,Typ,2.0,0,0,0,2006,Normal,226000
60,84.0,14260,Norm,Norm,2Story,8,Gable,BrkFace,350.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,4,1,Typ,3.0,0,0,0,2008,Normal,250000
50,,159000,Norm,Norm,1.5Fin,6,Gable,BrkCmn,472.0,TA,TA,Gd,Gd,0.0,GasA,Gd,Gd,0,2,2,4,1,Typ,2.0,0,0,500,2007,Normal,277000
60,98.0,12328,Norm,Norm,2Story,8,Hip,Stone,146.0,TA,TA,Mn,Mn,0.0,GasA,Ex,Ex,0,3,3,4,1,Typ,3.0,0,0,0,2007,Normal,349265
20,85.0,11447,Norm,Norm,1Story,8,Gable,BrkFace,674.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2008,Normal,370000
70,70.0,8400,Artery,Norm,2Story,6,Gable,None,0.0,TA,TA,Mn,Mn,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,1.0,0,0,0,2009,Normal,160000
30,56.0,8960,Artery,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,1,1,2,1,Typ,2.0,130,0,0,2010,Normal,115000
30,80.0,13360,Norm,Norm,1Story,5,Gable,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,2.0,44,0,0,2009,Normal,163500
20,,6627,Feedr,Norm,1Story,3,Hip,None,0.0,TA,TA,,,0.0,Floor,TA,TA,0,1,1,2,1,Typ,1.0,0,0,0,2008,Normal,72500
30,68.0,9656,Norm,Norm,1Story,2,Gable,None,0.0,Fa,Fa,No,No,0.0,GasA,TA,TA,0,1,1,2,1,Typ,2.0,0,0,0,2010,Abnorml,12789
20,76.0,9158,Norm,Norm,1Story,8,Gable,Stone,140.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2007,Partial,225000
30,,6615,Norm,Norm,1Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Typ,1.0,0,0,0,2009,Normal,149000
60,58.0,10852,RRAn,Norm,2Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2006,Normal,173000
20,,15635,Norm,Norm,1Story,4,Gable,None,0.0,TA,TA,,,0.0,GasA,TA,TA,0,1,1,2,1,Mod,2.0,90,110,0,2009,Normal,122000
50,51.0,6821,Norm,Norm,1.5Fin,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,2,1,Typ,1.0,168,0,0,2007,Normal,146500
20,56.0,9836,Artery,Norm,1Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,1,1,3,1,Typ,1.0,0,0,0,2008,Abnorml,143000
60,80.0,11584,Norm,Norm,SLvl,7,Hip,BrkFace,96.0,TA,TA,No,No,110.0,GasA,TA,TA,0,2,2,3,1,Typ,2.0,216,0,0,2007,Normal,197000
20,90.0,18261,Norm,Norm,1Story,9,Hip,BrkFace,420.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,123,0,2006,Normal,470000
20,70.0,10500,Norm,Norm,1Story,4,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Typ,0.0,0,0,0,2010,Normal,115000
60,64.0,8333,Norm,Norm,2Story,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,168675
20,65.0,9750,Norm,Norm,1Story,6,Gable,None,0.0,TA,TA,No,No,438.0,GasA,Gd,Gd,0,1,1,3,1,Typ,2.0,0,80,0,2008,Normal,151000
60,,17542,Norm,Norm,2Story,7,Gable,None,0.0,TA,TA,Gd,Gd,1031.0,GasA,TA,TA,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,294000
60,60.0,3378,Norm,Norm,2Story,7,Gable,None,0.0,Gd,Gd,No,No,0.0,GasA,Gd,Gd,0,1,1,3,1,Typ,1.0,126,0,0,2009,Normal,135000
30,71.0,6900,Norm,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,125.0,GasA,Ex,Ex,0,1,1,2,1,Typ,1.0,0,0,0,2008,Normal,120500
50,75.0,9000,Norm,Norm,1.5Fin,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,3,1,Typ,3.0,0,0,0,2008,Normal,140000
20,60.0,8172,Norm,Norm,1Story,5,Hip,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,2,1,Typ,2.0,0,0,0,2006,Normal,115000
120,42.0,4084,Norm,Norm,1Story,7,Gable,BrkFace,340.0,TA,TA,Av,Av,0.0,GasA,Gd,Gd,0,2,2,2,1,Typ,2.0,0,0,0,2008,Normal,241500
90,,18890,Feedr,RRAe,1.5Fin,5,Shed,None,1.0,TA,TA,No,No,211.0,GasA,Ex,Ex,0,2,2,4,2,Typ,2.0,145,0,8300,2007,Normal,190000
80,82.0,9020,Norm,Norm,SLvl,6,Gable,BrkFace,183.0,TA,TA,Gd,Gd,539.0,GasA,TA,TA,0,1,1,3,1,Typ,2.0,0,0,0,2008,Normal,174900
120,,4500,Norm,Norm,1Story,6,Hip,BrkFace,425.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2009,Normal,165000
30,60.0,8520,Norm,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,2,1,Typ,1.0,81,0,0,2009,Normal,99500
20,72.0,8640,Norm,Norm,1Story,8,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2006,Partial,198600
20,72.0,8872,Norm,Norm,1Story,5,Gable,BrkFace,300.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,2.0,0,0,0,2008,Normal,147000
60,80.0,9428,Norm,Norm,2Story,8,Hip,Stone,310.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2008,Partial,297900
70,62.0,9856,Norm,Norm,2Story,5,Hip,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,2,2,5,1,Typ,2.0,167,0,0,2006,Normal,169000
50,60.0,6000,Norm,Norm,1.5Fin,5,Gable,None,0.0,Fa,Fa,No,No,0.0,GasA,Ex,Ex,514,2,2,4,1,Typ,0.0,138,0,0,2006,Normal,102000
20,,9450,Norm,Norm,1Story,4,Gable,BrkFace,160.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Typ,3.0,84,0,0,2009,Normal,140000
20,,10355,Norm,Norm,1Story,5,Gable,BrkFace,196.0,TA,TA,No,No,0.0,GasA,TA,TA,0,2,2,3,1,Typ,1.0,0,0,0,2007,Normal,143000
20,98.0,12291,Norm,Norm,1Story,10,Hip,BrkFace,754.0,TA,TA,Av,Av,0.0,GasA,Ex,Ex,0,2,2,1,1,Typ,3.0,0,0,0,2007,Partial,419005
60,107.0,13641,Norm,Norm,2Story,9,Hip,BrkFace,456.0,TA,TA,Gd,Gd,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,3.0,0,0,0,2007,Partial,492000
90,82.0,6270,Norm,Norm,2Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,2,2,4,2,Typ,3.0,0,0,0,2007,Normal,145000
20,68.0,9571,Norm,Norm,1Story,5,Gable,None,0.0,Fa,Fa,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Mod,1.0,0,0,0,2009,Abnorml,60000
60,106.0,12720,Norm,Norm,2Story,8,Gable,BrkFace,150.0,TA,TA,Mn,Mn,0.0,GasA,Ex,Ex,0,2,2,4,1,Typ,3.0,0,0,0,2009,Normal,327000
160,32.0,3363,Norm,Norm,2Story,7,Gable,Stone,117.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Maj1,2.0,0,0,0,2006,Normal,130000
70,50.0,9000,Artery,Norm,2Story,7,Hip,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,1,1,3,1,Typ,2.0,0,0,0,2009,Normal,143000
20,68.0,10295,Norm,Norm,1Story,4,Gable,BrkFace,72.0,TA,TA,Mn,Mn,0.0,GasA,TA,TA,0,1,1,2,1,Typ,1.0,0,0,0,2008,Normal,111900
60,63.0,8402,Norm,Norm,2Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Gd,Gd,0,2,2,3,1,Typ,2.0,0,0,0,2010,Normal,180400
190,70.0,5600,Norm,Norm,2Story,4,Hip,None,0.0,Fa,Fa,,,0.0,GasA,Fa,Fa,0,2,2,3,2,Mod,0.0,0,0,3500,2010,Normal,55000
30,67.0,5604,Norm,Norm,1Story,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,2,1,Typ,0.0,96,0,0,2008,Normal,98000
30,109.0,21780,Norm,Norm,1Story,2,Gable,None,0.0,Fa,Fa,,,0.0,GasA,TA,TA,0,1,1,1,1,Min1,1.0,0,0,0,2009,Normal,57625
60,65.0,10237,RRAn,Norm,2Story,6,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2007,Normal,176000
120,47.0,4230,Norm,Norm,1Story,7,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,2,1,Typ,2.0,0,0,0,2007,Partial,208900
20,89.0,10858,Feedr,Norm,1Story,5,Gable,Stone,150.0,Gd,Gd,Mn,Mn,0.0,GasA,Ex,Ex,0,1,1,2,1,Min1,1.0,324,0,0,2006,Partial,146500
20,59.0,6490,Norm,Norm,1Story,5,Gable,None,0.0,Gd,Gd,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,1.0,0,0,0,2008,Normal,128500
160,21.0,1533,Norm,Norm,2Story,4,Gable,None,0.0,TA,TA,No,No,0.0,GasA,TA,TA,0,1,1,3,1,Typ,0.0,0,0,0,2009,Normal,97000
80,80.0,13014,Norm,Norm,SLvl,6,Gable,BrkFace,39.0,TA,TA,Av,Av,0.0,GasA,TA,TA,0,1,1,3,1,Typ,2.0,0,0,0,2008,Normal,157500
20,85.0,14450,Norm,Norm,1Story,7,Hip,BrkFace,194.0,TA,TA,No,No,449.0,GasA,TA,TA,0,2,2,3,1,Typ,2.0,0,0,0,2008,Normal,220000
160,,2117,Norm,Norm,2Story,6,Gable,BrkFace,216.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,2,2,3,1,Typ,2.0,0,0,0,2010,Normal,177500
60,97.0,10029,Norm,Norm,2Story,6,Gable,BrkFace,268.0,TA,TA,No,No,0.0,GasA,TA,TA,0,2,2,4,1,Typ,2.0,0,192,0,2007,Normal,211000
45,51.0,6120,Norm,Norm,1.5Unf,5,Gable,None,0.0,TA,TA,No,No,0.0,GasA,Ex,Ex,0,1,1,2,1,Typ,1.0,136,0,0,2007,Normal,113000
